Condition: d3
Data/tokenizer loaded in 0.3s
Time budget: 300s
Gradient accumulation steps: 1
Model compiled in 0.6s

step 00000 (0.0%) | loss: 9.011121 | lrm: 1.00 | dt: 611ms | tok/sec: 53,649 | epoch: 1 | remaining: 300s    
step 00001 (0.4%) | loss: 9.023889 | lrm: 1.00 | dt: 340ms | tok/sec: 96,282 | epoch: 1 | remaining: 300s    
step 00002 (0.8%) | loss: 8.655492 | lrm: 1.00 | dt: 550ms | tok/sec: 59,539 | epoch: 1 | remaining: 299s    
step 00003 (1.1%) | loss: 8.358689 | lrm: 1.00 | dt: 612ms | tok/sec: 53,532 | epoch: 1 | remaining: 298s    
step 00004 (1.5%) | loss: 8.149100 | lrm: 1.00 | dt: 1429ms | tok/sec: 22,927 | epoch: 1 | remaining: 297s    
step 00005 (1.9%) | loss: 7.974257 | lrm: 1.00 | dt: 1955ms | tok/sec: 16,764 | epoch: 1 | remaining: 295s    
step 00006 (2.3%) | loss: 7.847388 | lrm: 1.00 | dt: 750ms | tok/sec: 43,718 | epoch: 1 | remaining: 294s    
step 00007 (2.7%) | loss: 7.740705 | lrm: 1.00 | dt: 758ms | tok/sec: 43,221 | epoch: 1 | remaining: 294s    
step 00008 (3.0%) | loss: 7.661716 | lrm: 1.00 | dt: 1116ms | tok/sec: 29,349 | epoch: 1 | remaining: 292s    
step 00009 (3.4%) | loss: 7.600465 | lrm: 1.00 | dt: 1459ms | tok/sec: 22,462 | epoch: 1 | remaining: 291s    
step 00010 (3.8%) | loss: 7.535813 | lrm: 1.00 | dt: 1008ms | tok/sec: 32,503 | epoch: 1 | remaining: 290s    
step 00011 (4.2%) | loss: 7.489144 | lrm: 1.00 | dt: 933ms | tok/sec: 35,107 | epoch: 1 | remaining: 289s    
step 00012 (4.5%) | loss: 7.445411 | lrm: 1.00 | dt: 1068ms | tok/sec: 30,680 | epoch: 1 | remaining: 288s    
step 00013 (4.9%) | loss: 7.409865 | lrm: 1.00 | dt: 1266ms | tok/sec: 25,884 | epoch: 1 | remaining: 287s    
step 00014 (5.3%) | loss: 7.399767 | lrm: 1.00 | dt: 1000ms | tok/sec: 32,778 | epoch: 1 | remaining: 286s    
step 00015 (5.7%) | loss: 7.367733 | lrm: 1.00 | dt: 1065ms | tok/sec: 30,775 | epoch: 1 | remaining: 285s    
step 00016 (6.1%) | loss: 7.334953 | lrm: 1.00 | dt: 1166ms | tok/sec: 28,110 | epoch: 1 | remaining: 284s    
step 00017 (6.4%) | loss: 7.306120 | lrm: 1.00 | dt: 1060ms | tok/sec: 30,911 | epoch: 1 | remaining: 282s    
step 00018 (6.8%) | loss: 7.283992 | lrm: 1.00 | dt: 1085ms | tok/sec: 30,202 | epoch: 1 | remaining: 281s    
step 00019 (7.2%) | loss: 7.264256 | lrm: 1.00 | dt: 1091ms | tok/sec: 30,033 | epoch: 1 | remaining: 280s    
step 00020 (7.6%) | loss: 7.241891 | lrm: 1.00 | dt: 1067ms | tok/sec: 30,720 | epoch: 1 | remaining: 279s    
